node_id,bench_id,impl_id,region_id,obj_cols,obj_rows,obj_levels,obj_cells,threads,l2d_load_bandwidth,l2d_load_data_volume,l2_bandwidth,l2_data_volume,l3_access_bandwidth,l3_access_data_volumen,l3_access_rate,l3_miss_rate,l3_miss_ratio,memory_bandwidth,memory_data_volume

gauss3,e_memory_by_threads,one_coeff,apply,1024,1024,1024,1073741824,1,28593.4772,45.3475,28593.4772,45.3475,21840.6858,34.6221,5.7209,5.6876,99.4186,27193.5012,43.0461
gauss3,e_memory_by_threads,one_coeff,overall,1024,1024,1024,1073741824,1,17343.3303,62.5666,17343.3303,62.5666,19204.6480,70.0022,5.7189,4.2745,74.7435,21827.3663,78.7386
gauss3,e_memory_by_threads,one_coeff,apply,1024,1024,1024,1073741824,2,41455.8250,45.3676,41455.8250,45.3676,31867.7766,35.0593,5.7931,5.7146,49.3227,39123.8100,43.1281
gauss3,e_memory_by_threads,one_coeff,overall,1024,1024,1024,1073741824,2,27692.9987,62.6418,27692.9987,62.6418,30814.1301,69.8316,5.6982,4.3364,38.0505,35282.7079,79.8126
gauss3,e_memory_by_threads,one_coeff,apply,1024,1024,1024,1073741824,4,41127.0639,45.1530,41127.0639,45.1530,31645.7375,34.7109,5.7304,5.6893,24.8205,39303.1674,43.1175
gauss3,e_memory_by_threads,one_coeff,overall,1024,1024,1024,1073741824,4,28109.9561,62.4055,28109.9561,62.4055,31252.7018,69.7508,5.6554,4.6045,20.3543,39284.2525,87.3643
gauss3,e_memory_by_threads,one_coeff,apply,1024,1024,1024,1073741824,8,41454.4334,45.5882,41454.4334,45.5882,31735.3780,34.9182,5.7675,5.6838,24.6371,39176.4971,43.0799
gauss3,e_memory_by_threads,one_coeff,overall,1024,1024,1024,1073741824,8,29592.6784,62.7814,29592.6784,62.7814,33104.2862,70.2591,5.6330,4.3552,19.3289,38923.6991,82.6135
gauss3,e_memory_by_threads,one_coeff,apply,1024,1024,1024,1073741824,16,76615.9878,45.3986,76615.9878,45.3986,58851.2748,34.9126,5.7616,5.6770,24.6326,72582.1223,43.0856
gauss3,e_memory_by_threads,one_coeff,overall,1024,1024,1024,1073741824,16,51605.9018,63.0544,51605.9018,63.0544,57992.4471,70.6855,5.5637,4.2691,19.1746,67548.6311,82.4396
gauss3,e_memory_by_threads,one_coeff,apply,1024,1024,1024,1073741824,32,122547.4553,45.5642,122547.4553,45.5642,94061.1421,35.0142,5.7760,5.6762,24.5679,115922.0426,43.0721
gauss3,e_memory_by_threads,one_coeff,overall,1024,1024,1024,1073741824,32,nil,63.5533,nil,63.5533,76379.6515,71.7409,5.4920,4.1878,19.0011,87787.8198,82.4746
gauss3,e_memory_by_threads,one_coeff,apply,1024,1024,1024,1073741824,64,243872.9131,45.6333,243872.9131,45.6333,187723.7218,35.0404,5.7783,5.6758,24.5562,231746.0576,43.1994
gauss3,e_memory_by_threads,one_coeff,overall,1024,1024,1024,1073741824,64,75742.9300,63.9451,75742.9300,63.9451,88613.3234,74.8456,5.6116,4.1717,18.5738,98670.0977,83.2778
gauss3,e_memory_by_threads,one_coeff,apply,1024,1024,1024,1073741824,128,373195.9519,69.8522,373195.9519,69.8522,197635.9629,37.0760,6.1025,5.6583,11.5902,229351.9367,43.2706
gauss3,e_memory_by_threads,one_coeff,overall,1024,1024,1024,1073741824,128,65979.6551,97.9823,65979.6551,97.9823,61061.5717,84.5884,5.1268,4.4870,10.6251,77091.4975,105.8733

gauss3,e_memory_by_threads,several_coeff,apply,1024,1024,1024,1073741824,1,44386.7451,213.1573,44386.7451,213.1573,13720.6797,65.6166,5.4371,4.9923,91.8183,14356.7536,68.9654
gauss3,e_memory_by_threads,several_coeff,overall,1024,1024,1024,1073741824,1,30439.7484,238.5309,30439.7484,238.5309,15119.2418,118.4092,6.2502,4.6083,73.7308,15487.4028,122.9737
gauss3,e_memory_by_threads,several_coeff,apply,1024,1024,1024,1073741824,2,83077.2088,209.7939,83077.2088,209.7939,25984.5710,65.8466,5.4562,5.0176,45.9812,27269.5349,69.0546
gauss3,e_memory_by_threads,several_coeff,overall,1024,1024,1024,1073741824,2,54115.4338,236.0772,54115.4338,236.0772,27402.2181,119.0035,6.2774,4.8674,38.7691,30367.2182,131.8091
gauss3,e_memory_by_threads,several_coeff,apply,1024,1024,1024,1073741824,4,105386.5120,195.3835,105386.5120,195.3835,35248.2948,65.4232,5.4187,4.9949,23.0449,37192.3416,68.9925
gauss3,e_memory_by_threads,several_coeff,overall,1024,1024,1024,1073741824,4,55793.9736,221.0522,55793.9736,221.0522,29921.7354,118.7702,6.2374,5.4397,21.8024,39192.3093,155.2951
gauss3,e_memory_by_threads,several_coeff,apply,1024,1024,1024,1073741824,8,100693.0075,184.7281,100693.0075,184.7281,35702.6782,65.6565,5.4386,4.9918,22.9463,37581.9056,68.9396
gauss3,e_memory_by_threads,several_coeff,overall,1024,1024,1024,1073741824,8,53939.7803,210.9834,53939.7803,210.9834,30497.6625,119.3504,6.2209,5.3598,21.5393,39332.0299,154.0277
gauss3,e_memory_by_threads,several_coeff,apply,1024,1024,1024,1073741824,16,188689.1225,184.4566,188689.1225,184.4566,67096.5978,65.6158,5.4304,4.9857,22.9527,70465.0210,68.9084
gauss3,e_memory_by_threads,several_coeff,overall,1024,1024,1024,1073741824,16,96980.8888,210.4778,96980.8888,210.4778,55372.2885,119.9922,6.1737,5.3103,21.5019,71167.0339,154.6895
gauss3,e_memory_by_threads,several_coeff,apply,1024,1024,1024,1073741824,32,301993.1993,183.1308,301993.1993,183.1308,108243.9639,65.6879,5.4340,4.9825,22.9229,113686.0574,68.9370
gauss3,e_memory_by_threads,several_coeff,overall,1024,1024,1024,1073741824,32,134480.8855,209.8002,134480.8855,209.8002,78542.4713,121.8526,6.1192,5.2309,21.3308,100062.8824,155.3350
gauss3,e_memory_by_threads,several_coeff,apply,1024,1024,1024,1073741824,64,602632.6733,183.1841,602632.6733,183.1841,215991.8055,65.7340,5.4351,4.9814,22.9132,217771.5147,69.1225
gauss3,e_memory_by_threads,several_coeff,overall,1024,1024,1024,1073741824,64,173699.9228,210.3760,173699.9228,210.3760,101560.9164,124.2919,6.0613,5.1549,21.1186,135227.5234,155.4253
